date,type,operator,fatalities,country,cat,year
1944-12-27,Douglas C-47A (DC-3),USAAF,0.0,Belgium,C1,1944
1944-12-27,Douglas C-47A (DC-3),USAAF,1.0,Belgium,C1,1944
1944-12-27,Douglas C-47A (DC-3),USAAF,2.0,Belgium,A1,1944
1944-12-27,Douglas C-47A (DC-3),USAAF,3.0,Belgium,A1,1944
1944-12-28,Douglas C-53 Skytrooper (DC-3),USAAF,,Luxembourg,A1,1944
1944-12-28,Curtiss C-46D,USAAF,,,A1,1944
1944-12-28,Douglas C-47A (DC-3),USAAF,,Indonesia,A1,1944
1944-12-28,Douglas C-47A (DC-3),USAAF,,China,A1,1944
1944-12-28,Douglas C-47B (DC-3),USAAF,,China,A1,1944
1944-12-29,Curtiss C-46A,USAAF,,,A1,1944
1944-12-29,Douglas C-47A (DC-3),USAAF,13.0,USA,A1,1944
1944-12-29,Douglas C-47A (DC-3),USAAF,,Belgium,A1,1944
1944-12-30,Douglas C-47A (DC-3),USAAF,,France,A1,1944
1944-12-30,Douglas C-47A (DC-3),USAAF,7.0,Italy,A1,1944
1944-12-30,Lockheed C-60A Lodestar,Lignes A̩riennes Militaires - LAM,12.0,Algeria,A1,1944
1944-12-30,Douglas Dakota III (DC-3),RAF,,Belgium,C1,1944
1944-12-31,Douglas Dakota IV (DC-3),RAF,,Bangladesh,A1,1944
1944-12-31,Douglas C-47A (DC-3),USAAF,,Philippines,A1,1944
1944-12-31,Douglas C-47A (DC-3),USAAF,,China,A1,1944
,Douglas DC-3 (Nakajima L2D),Imperial Japanese Airways,,Taiwan,A1,1944
,Douglas C-47A (DC-3),USAAF,,China,C1,1944
,Douglas C-47A (DC-3),USAAF,,,A1,1944
,Lior̩-et-Olivier H.246,French Navy,0.0,France,C1,1944
,Junkers Ju-52/3m,German AF,,Finland,A1,1944
,Potez 62,LARES,,Romania,A1,1944
,Junkers Ju-52/3m,German AF,,Norway,A1,1944
,Douglas DC-3 (Showa L2D),Japan Air Force,,Micronesia,A1,1944
,Douglas C-47A (DC-3),USAAF,,,U1,1944
,Junkers Ju-52/3m ge,"German AF, lsf Deutsche Lufthansa",,Germany,U1,1944
1944-02-05,Curtiss R5C-1 (C-46A),US Navy,,,A1,1944
1944-02-05,Douglas C-47 (DC-3),USAAF,,Pakistan,A1,1944
1944-02-06,Douglas R4D-5 (DC-3),US Navy,22.0,Solomon Isl.,A1,1944
1944-02-07,Curtiss C-46A,USAAF,,India,A1,1944
1944-02-07,Douglas C-47A (DC-3),USAAF,4.0,USA,A1,1944
1944-02-07,Consolidated PBY-5A Catalina,RAAF,0.0,P.N. Guinea,A1,1944
1944-02-07,Consolidated C-87,USAAF,,Myanmar,A1,1944
1944-02-08,Curtiss C-46A,USAAF,,China,U1,1944
1944-02-08,Douglas C-47A (DC-3),USAAF,,U.K.,A1,1944
1944-02-08,Douglas C-47A (DC-3),USAAF,,U.K.,A1,1944
1944-02-08,Douglas C-47A (DC-3),USAAF,5.0,USA,A1,1944
1944-02-08,Douglas Dakota I (DC-3),RAF,,Myanmar,C1,1944
1944-02-09,Curtiss C-46A,USAAF,,India,A1,1944
1944-02-10,Douglas DC-3-277A,American Airlines,24.0,USA,A1,1944
1944-02-10,Douglas C-47A (DC-3),USAAF,1.0,P.N. Guinea,A1,1944
1944-02-10,Douglas C-47A (DC-3),USAAF,0.0,P.N. Guinea,A2,1944
1944-02-11,Curtiss C-46A,USAAF,,India,A1,1944
1944-02-11,Douglas DC-2-115E,Deutsche Lufthansa,0.0,Germany,A1,1944
1944-02-12,Consolidated PBY-5 Catalina,US Navy,,Atlantic Ocean,A1,1944
1944-02-12,Douglas C-47A (DC-3),USAAF,0.0,P.N. Guinea,A1,1944
1944-02-12,Lisunov Li-2,Aeroflot,6.0,Ukraine,A1,1944
1944-02-13,Douglas C-47 (DC-3),USAAF,4.0,USA,A1,1944
1944-02-13,Lockheed 14-WF62 Super Electra,"Guinea Airways, opf ADAT",0.0,Australia,A1,1944
1944-02-13,Douglas Dakota III (DC-3),RAF,,Bangladesh,A1,1944
1944-02-13,Douglas Dakota III  (DC-3),USAAF,,Bangladesh,A1,1944
1944-02-13,Douglas C-47A (DC-3),Aeroflot,5.0,Russia,A1,1944
1944-02-14,Douglas C-47A (DC-3),USAAF,,Puerto Rico,A1,1944
1944-02-14,Consolidated PBY-5 Catalina,US Navy,,P.N. Guinea,A1,1944
1944-02-14,Consolidated PBY-5 Catalina,US Navy,,Australia,A1,1944
1944-02-14,Douglas R4D-1 (DC-3),US Navy,3.0,USA,A1,1944
1944-02-15,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-02-16,Douglas R4D-1 (DC-3),US Navy,14.0,USA,A1,1944
1944-02-16,Junkers Ju-52/3mg7e,German AF,5.0,Ukraine,A1,1944
1944-02-16,Junkers Ju-52/3m,German AF,4.0,Ukraine,A1,1944
1944-02-17,Consolidated PBY-5 Catalina,US Navy,,,A1,1944
1944-02-17,Douglas C-53 (DC-3),CNAC,0.0,India,A1,1944
1944-02-17,Douglas C-47A (DC-3),Aeroflot,6.0,Estonia,A1,1944
1944-02-18,Curtiss C-46A,USAAF,,India,U1,1944
1944-02-18,Curtiss C-46A,USAAF,,China,U1,1944
1944-02-18,Curtiss C-46A,USAAF,2.0,USA,A1,1944
1944-02-18,Douglas C-47A (DC-3),USAAF,6.0,Myanmar,A1,1944
1944-02-18,Consolidated PBY-5 Catalina,US Navy,,Marshall Isl.,A1,1944
1944-02-19,Douglas C-47A (DC-3),USAAF,,India,A1,1944
1944-02-19,Junkers Ju-52/3m,German AF,3.0,Belgium,A1,1944
1944-02-19,Douglas C-47A (DC-3),USAAF,2.0,P.N. Guinea,A1,1944
1944-02-20,Douglas C-47A (DC-3),CNAC,2.0,China,A1,1944
1944-02-20,Curtiss C-46A,"USAAF, op.for Western Air Lines",4.0,USA,A1,1944
1944-02-20,Curtiss C-46A,USAAF,4.0,India,A1,1944
1944-02-20,Consolidated PBY-5A Catalina,US Navy,,,A1,1944
1944-02-20,Short Sunderland III,"RAF, op.for RCAF",2.0,U.K.,A1,1944
1944-02-21,Douglas C-47A (DC-3),USAAF,,Spain,A1,1944
1944-02-21,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-02-21,Junkers Ju-52/3m,Deutsche Lufthansa,16.0,Greece,A1,1944
1944-02-22,Curtiss C-46A,USAAF,,India,A1,1944
1944-02-22,Junkers Ju-52/3mg14e,German AF,2.0,Ukraine,A1,1944
1944-02-23,Douglas C-47 (DC-3),USAAF,,USA,A1,1944
1944-02-23,Lockheed C-60A Lodestar,USAAF,,USA,A1,1944
1944-02-23,Lockheed 14-H2 Super Electra,DETA,13.0,Mozambique,A1,1944
1944-02-23,Douglas C-47A (DC-3),USAAF,,P.N. Guinea,A1,1944
1944-02-24,Douglas C-47 (DC-3),USAAF,,Italy,A1,1944
1944-02-24,Curtiss C-46A,USAAF,,,U1,1944
1944-02-25,Curtiss C-46A,USAAF,,,U1,1944
1944-02-25,Curtiss C-46A,USAAF,,,U1,1944
1944-02-25,Curtiss C-46A,USAAF,,India,A1,1944
1944-02-25,Douglas C-47A (DC-3),USAAF,,Myanmar,A1,1944
1944-02-26,Douglas Dakota III (DC-3),RCAF,,Canada,A1,1944
1944-02-27,Douglas C-47 (DC-3),USAAF,,Morocco,A1,1944
1944-02-27,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-02-27,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-02-27,Lisunov Li-2,Aeroflot,,Ukraine,A1,1944
1944-02-28,Douglas C-53D Skytrooper (DC-3),USAAF,1.0,USA,A1,1944
1944-02-28,Curtiss C-46A,USAAF,3.0,,A1,1944
1944-02-29,Junkers Ju-52/3m,German AF,4.0,?,A1,1944
1944-03-02,Curtiss C-46A,USAAF,,China,A1,1944
1944-03-02,Douglas C-47A (DC-3),USAAF,,U.K.,A1,1944
1944-03-02,Junkers Ju-52/3m,German AF,4.0,Germany,A1,1944
1944-03-03,Douglas C-47 (DC-3),USAAF,,USA,A1,1944
1944-03-03,Curtiss C-46A,USAAF,,China,A1,1944
1944-03-03,Junkers Ju-52/3m,German AF,3.0,Greece,C1,1944
1944-03-04,Douglas C-47A (DC-3),USAAF,5.0,U.K.,A1,1944
1944-03-04,Junkers Ju-52/3m,German AF,4.0,Greece,A1,1944
1944-03-04,Douglas C-47A (DC-3),Aeroflot,0.0,Russia,A1,1944
1944-03-05,Curtiss C-46A,USAAF,,USA,A1,1944
1944-03-05,Douglas C-47 (DC-3),USAAF,,U.K.,A1,1944
1944-03-05,Douglas Dakota III (DC-3),RAF,2.0,Iceland,A1,1944
1944-03-05,Douglas Dakota III (DC-3),RAF,,U.K.,O1,1944
1944-03-06,Curtiss C-46A,USAAF,0.0,India,A1,1944
1944-03-06,Douglas C-47A (DC-3),USAAF,2.0,Australia,A1,1944
1944-03-06,Douglas R4D-5 (DC-3),US Navy,2.0,USA,A1,1944
1944-03-06,Douglas Dakota III (DC-3),RAF,,Atlantic Ocean,A1,1944
1944-03-06,Douglas C-47A (DC-3),USAAF,13.0,P.N. Guinea,A1,1944
1944-03-07,Curtiss C-46A,USAAF,,China,A1,1944
1944-03-07,Douglas C-47A (DC-3),CNAC,4.0,Cuba,A1,1944
1944-03-07,Junkers Ju-52/3m,German AF,1.0,Greece,C1,1944
1944-03-08,Douglas C-47A (DC-3),USAAF,,Ireland,A1,1944
1944-03-08,Consolidated PBY-5A Catalina,US Navy,9.0,Solomon Isl.,A1,1944
1944-03-08,Lisunov Li-2,Aeroflot,8.0,Ukraine,C1,1944
1944-03-09,Douglas Dakota III (DC-3),RAF,2.0,Iceland,A1,1944
1944-03-09,Douglas C-39 (DC-2),USAAF,0.0,Australia,A1,1944
1944-03-09,Lockheed R5O-6 Lodestar,US Navy,,USA,A1,1944
1944-03-10,SNCASE SE.200,German AF,0.0,France,C1,1944
1944-03-10,Douglas Dakota III (DC-3),RAF,,Bangladesh,A1,1944
1944-03-11,Douglas C-47 (DC-3),USAAF,,China,A1,1944
1944-03-11,Douglas C-47A (DC-3),USAAF,2.0,U.K.,A1,1944
1944-03-11,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-03-11,Douglas C-47A (DC-3),USAAF,,Senegal,A1,1944
1944-03-11,Douglas C-47A (DC-3),USAAF,5.0,USA,A1,1944
1944-03-11,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-03-11,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-03-12,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-03-12,Curtiss C-46A,USAAF,,India,A1,1944
1944-03-14,Douglas C-47A (DC-3),USAAF,2.0,USA,A1,1944
1944-03-14,Lockheed Lodestar IA,RAF,0.0,Egypt,A1,1944
1944-03-14,Douglas C-47A (DC-3),USAAF,,P.N. Guinea,A1,1944
1944-03-15,Consolidated C-87,USAAF,,China,A1,1944
1944-03-16,Lockheed C-60A Lodestar,USAAF,3.0,USA,A1,1944
1944-03-17,Douglas Dakota III (DC-3),RCAF,3.0,Canada,A1,1944
1944-03-18,Curtiss C-46A,USAAF,,,U1,1944
1944-03-18,Douglas C-47A (DC-3),USAAF,,India,A1,1944
1944-03-18,Consolidated C-87,USAAF,7.0,China,A1,1944
1944-03-20,Lisunov PS-84,Aeroflot,7.0,Belarus,C1,1944
1944-03-21,Douglas C-53 Skytrooper (DC-3),USAAF,,USA,A1,1944
1944-03-21,Douglas Dakota III (DC-3),RAF,,Bangladesh,A1,1944
1944-03-21,Douglas C-47A (DC-3),USAAF,,P.N. Guinea,A1,1944
1944-03-21,Douglas Dakota III (DC-3),RAF,5.0,U.K.,A1,1944
1944-03-22,Curtiss C-46A,USAAF,,China,A1,1944
1944-03-22,Douglas C-54A (DC-4),USAAF,,Canada,A1,1944
1944-03-22,Douglas C-47A (DC-3),USAAF,4.0,USA,A1,1944
1944-03-22,Douglas C-47A (DC-3),USAAF,,Gambia,A1,1944
1944-03-24,Curtiss C-46A,USAAF,4.0,India,A1,1944
1944-03-24,Douglas C-53 (DC-3),CNAC,0.0,China,A1,1944
1944-03-24,Douglas C-53 Skytrooper (DC-3),USAAF,,Italy,A1,1944
1944-03-24,Consolidated PBY-2 Catalina,US Navy,,USA,A1,1944
1944-03-24,Douglas C-47A (DC-3),USAAF,,P.N. Guinea,A1,1944
1944-03-24,Junkers Ju-52/3m,German AF,1.0,Denmark,C1,1944
1944-03-25,Douglas C-54A (DC-4),USAAF,6.0,Atlantic Ocean,C1,1944
1944-03-25,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-03-25,Junkers Ju-52/3mge,Sabena,,D.R. Congo,A1,1944
1944-03-25,Douglas Dakota III (DC-3),RAF,5.0,U.K.,A1,1944
1944-03-25,Douglas Dakota III (DC-3),RAF,,Italy,A1,1944
1944-03-25,Douglas Dakota III (DC-3),RAF,,India,A1,1944
1944-03-25,Douglas Dakota III (DC-3),RAF,0.0,U.K.,A2,1944
1944-03-26,Lockheed C-60A Lodestar,USAAF,7.0,USA,A1,1944
1944-03-26,Consolidated C-87,USAAF,,China,A1,1944
1944-03-27,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-03-27,Lockheed C-60A Lodestar,USAAF,,Egypt,A1,1944
1944-03-27,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-03-27,Curtiss C-46A,USAAF,4.0,China,A1,1944
1944-03-28,Douglas C-47A (DC-3),USAAF,,Senegal,A1,1944
1944-03-29,Curtiss C-46A,USAAF,,India,A1,1944
1944-03-29,Douglas C-47A (DC-3),USAAF,0.0,U.K.,A1,1944
1944-03-29,Douglas C-47A (DC-3),USAAF,2.0,USA,A1,1944
1944-03-29,Junkers Ju-52/3m,German AF,,Netherlands,A1,1944
1944-03-30,Curtiss C-46A,USAAF,,,A1,1944
1944-03-30,Douglas C-47A (DC-3),USAAF,,U.K.,A1,1944
1944-03-30,Douglas C-47A (DC-3),USAAF,,Myanmar,A1,1944
1944-04-01,Douglas C-47 (DC-3),USAAF,7.0,P.N. Guinea,A1,1944
1944-04-01,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-04-02,Douglas C-47A (DC-3),USAAF,5.0,Pacific Ocean,A1,1944
1944-04-03,Curtiss C-46A,USAAF,,Bangladesh,A1,1944
1944-04-03,Douglas C-47A (DC-3),USAAF,,Canada,A1,1944
1944-04-03,Douglas C-47 (DC-3),USAAF,,USA,A1,1944
1944-04-03,Junkers Ju-52/3mge,Sabena,,D.R. Congo,A1,1944
1944-04-03,Consolidated PBY-5 Catalina,US Navy,,,A1,1944
1944-04-03,Curtiss R5C-1 (C-46A),US Navy,,,A1,1944
1944-04-04,Douglas C-39 (DC-2),USAAF,0.0,Jamaica,A1,1944
1944-04-04,Consolidated C-10 Catalina (PBY-5),Brazilian AF,,Brazil,A1,1944
1944-04-05,Douglas C-47A (DC-3),USAAF,,India,A1,1944
1944-04-05,Consolidated C-87,USAAF,,Yemen,A1,1944
1944-04-05,Douglas C-47A (DC-3),USAAF,0.0,Indonesia,A1,1944
1944-04-06,PBV-1A Canso A (PBY-5A),RCAF,,Iceland,A1,1944
1944-04-06,Consolidated PBY-5A Catalina,US Navy,15.0,Atlantic Ocean,A1,1944
1944-04-07,Curtiss C-46,USAAF,,,U1,1944
1944-04-07,Junkers Ju-52/3m,German AF,4.0,Poland,A1,1944
1944-04-08,Douglas C-47A (DC-3),USAAF,,Australia,A1,1944
1944-04-09,Douglas Dakota III (DC-3),RAF,,India,A1,1944
1944-04-10,Douglas C-47A (DC-3),USAAF,,U.K.,A1,1944
1944-04-10,Junkers Ju-52/3m,German AF,15.0,Atlantic Ocean,A1,1944
1944-04-10,Douglas Dakota III (DC-3),RAF,,U.K.,A1,1944
1944-04-11,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-04-11,Douglas C-47A (DC-3),Aeroflot,0.0,Ukraine,A1,1944
1944-04-12,Budd RB-1 Conestoga,US Navy,1.0,USA,A1,1944
1944-04-13,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-04-13,Douglas C-47A (DC-3),USAAF,,P.N. Guinea,A1,1944
1944-04-14,Douglas C-47A (DC-3),USAAF,,Myanmar,A1,1944
1944-04-14,Junkers Ju-52/3m,German AF,1.0,Serbia,A1,1944
1944-04-14,Douglas C-47A (DC-3),Aeroflot,0.0,Belarus,C1,1944
1944-04-14,Junkers Ju-52/3m,German AF,3.0,Denmark,C1,1944
1944-04-14,Junkers Ju-52/3m,German AF,6.0,Denmark,C1,1944
1944-04-14,Junkers Ju-52/3mg14e,German AF,5.0,Denmark,C1,1944
1944-04-15,Douglas C-47A (DC-3),USAAF,,Atlantic Ocean,A1,1944
1944-04-15,Douglas Dakota III (DC-3),RAF,3.0,Brazil,A1,1944
1944-04-15,Douglas C-47A (DC-3),USAAF,,Indonesia,A1,1944
1944-04-15,Douglas C-47 (DC-3),USAAF,,Pacific Ocean,A1,1944
1944-04-15,Douglas Dakota III (DC-3),RAF,6.0,Myanmar,A1,1944
1944-04-15,Douglas Dakota III (DC-3),RAF,,USA,A1,1944
1944-04-15,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-04-15,Junkers Ju-352 Herkules,German AF,,Germany,O1,1944
1944-04-16,Douglas C-47 (DC-3),USAAF,2.0,USA,A1,1944
1944-04-16,Junkers Ju-52/3m,German AF,27.0,Romania,C1,1944
1944-04-17,Consolidated Catalina,RAF,3.0,U.K.,A1,1944
1944-04-17,Junkers Ju-52/3m,Deutsche Lufthansa,5.0,Serbia,C1,1944
1944-04-17,SNCASE SE.200,German AF,0.0,Germany,C1,1944
1944-04-17,Lat̩co̬re 631,German AF,0.0,Germany,C1,1944
1944-04-17,Douglas Dakota III (DC-3),RAF,,U.K.,A1,1944
1944-04-18,Douglas C-47 (DC-3),USAAF,,India,A1,1944
1944-04-18,Douglas Dakota III (DC-3),RAF,,U.K.,A1,1944
1944-04-19,Douglas Dakota III (DC-3),RCAF,2.0,Canada,A1,1944
1944-04-19,Consolidated PBY-5A Catalina,US Navy,,USA,A1,1944
1944-04-20,Douglas C-47 (DC-3),USAAF,,USA,A1,1944
1944-04-20,Douglas C-47 (DC-3),USAAF,0.0,Myanmar,A1,1944
1944-04-20,Douglas Dakota III (DC-3),RAF,,India,A1,1944
1944-04-20,Douglas C-47A (DC-3),USAAF,,Myanmar,A1,1944
1944-04-21,Douglas C-47A (DC-3),USAAF,,Italy,A1,1944
1944-04-21,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-04-21,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-04-21,Consolidated PBY-5A Catalina,RAAF,,Indonesia,A1,1944
1944-04-21,Douglas C-47 (DC-3),BOAC,0.0,Sweden,A1,1944
1944-04-21,Douglas DC-3-220B,Deutsche Lufthansa,9.0,Norway,A1,1944
1944-04-22,Douglas C-54A (DC-4),USAAF,,Oman,A1,1944
1944-04-22,Curtiss C-46A,USAAF,,India,A1,1944
1944-04-24,Curtiss C-46A,USAAF,4.0,India,C1,1944
1944-04-24,Consolidated C-87,USAAF,,China,A1,1944
1944-04-25,Douglas C-47 (DC-3),USAAF,,USA,A1,1944
1944-04-25,Douglas C-47A (DC-3),USAAF,,Morocco,A1,1944
1944-04-25,Douglas Dakota III (DC-3),RAF,4.0,India,C1,1944
1944-04-25,Curtiss C-46A,USAAF,3.0,India,C1,1944
1944-04-25,Douglas C-47A (DC-3),USAAF,,Myanmar,A1,1944
1944-04-25,Douglas C-47A (DC-3),USAAF,14.0,U.K.,A1,1944
1944-04-25,Consolidated PBY-5 Catalina,US Navy,0.0,Pacific Ocean,A1,1944
1944-04-25,Consolidated PBY-5A Catalina,US Navy,,USA,A1,1944
1944-04-25,Douglas Dakota III (DC-3),RAF,4.0,Myanmar,A1,1944
1944-04-25,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-04-25,Douglas Dakota III (DC-3),RAF,4.0,India,A1,1944
1944-04-26,Curtiss C-46A,USAAF,0.0,India,A1,1944
1944-04-26,Douglas C-47A (DC-3),USAAF,,Brazil,A1,1944
1944-04-26,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-04-26,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-04-27,Douglas C-47 (DC-3),USAAF,,USA,A1,1944
1944-04-28,Curtiss C-46A,USAAF,,India,A1,1944
1944-04-28,Douglas C-47 (DC-3),USAAF,2.0,Italy,A1,1944
1944-04-28,Consolidated PBY-5A Catalina,RAAF,10.0,Indonesia,A1,1944
1944-04-28,Douglas R4D-5 (DC-3),US Navy,19.0,USA,A1,1944
1944-04-28,Douglas C-47A (DC-3),USAAF,,,A1,1944
1944-04-29,Curtiss C-46A,USAAF,,,U1,1944
1944-04-30,Douglas C-47 (DC-3),USAAF,,China,A1,1944
1944-04-30,Consolidated PBY-5 Catalina,US Navy,3.0,Pacific Ocean,A1,1944
1944-04-30,Fiat G.18V,Italian AF,,Italy,A1,1944
1944-05-01,DH.86 Express,RAAF,,Australia,A1,1944
1944-05-01,Douglas R4D-1 (DC-3),USMC,,,A1,1944
1944-05-01,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-05-01,Douglas C-47A (DC-3),USAAF,0.0,India,C1,1944
1944-05-02,Douglas C-47A (DC-3),USAAF,6.0,Myanmar,A1,1944
1944-05-02,Consolidated PBY-5A Catalina,RAAF,,Pacific Ocean,A1,1944
1944-05-02,Douglas Dakota III (DC-3),RAF,,India,A1,1944
1944-05-03,Curtiss C-46A,USAAF,0.0,,A1,1944
1944-05-03,Douglas C-47A (DC-3),USAAF,,India,A1,1944
1944-05-03,Douglas C-53 Skytrooper (DC-3),USAAF,,U.K.,A1,1944
1944-05-03,Douglas C-47 (DC-3),USAAF,,India,A1,1944
1944-05-04,Douglas C-47A (DC-3),USAAF,,U.K.,A1,1944
1944-05-05,Douglas C-47A (DC-3),USAAF,,Puerto Rico,A1,1944
1944-05-05,Douglas C-49H (DC-3),"Pennsylvania-Central Airlines, op.for USAAF",4.0,USA,A1,1944
1944-05-05,Douglas Dakota III (DC-3),RAF,4.0,India,A1,1944
1944-05-05,Consolidated Catalina IVA (PBY-5),RAF,0.0,U.K.,A1,1944
1944-05-05,Junkers Ju-52/3m,German AF,4.0,Romania,A1,1944
1944-05-06,Lockheed C-60A-1-LO Lodestar,USAAF,6.0,USA,A1,1944
1944-05-06,Douglas C-47A (DC-3),USAAF,4.0,USA,A1,1944
1944-05-07,Curtiss C-46A,USAAF,,India,A1,1944
1944-05-07,Consolidated C-87,USAAF,0.0,USA,A1,1944
1944-05-07,Douglas Dakota III (DC-3),RAF,,India,A1,1944
1944-05-08,Curtiss C-46A,USAAF,,China,A1,1944
1944-05-08,Douglas C-47 (DC-3),USAAF,7.0,China,A1,1944
1944-05-08,Douglas C-47A (DC-3),USAAF,,P.N. Guinea,A1,1944
1944-05-09,Douglas C-47 (DC-3),USAAF,6.0,Serbia,A1,1944
1944-05-09,Douglas Dakota III (DC-3),RAF,,Libya,A1,1944
1944-05-10,Consolidated PBY-5A Catalina,US Navy,10.0,Atlantic Ocean,A1,1944
1944-05-10,Consolidated PBY-5A Catalina,US Navy,9.0,Pacific Ocean,A1,1944
1944-05-10,Douglas Dakota III (DC-3),RAF,,Italy,A1,1944
1944-05-10,Junkers Ju-52/3m,German AF,3.0,Romania,C1,1944
1944-05-11,Douglas C-47A (DC-3),USAAF,1.0,USA,A1,1944
1944-05-12,Douglas C-47A (DC-3),USAAF,5.0,U.K.,A1,1944
1944-05-12,Douglas C-47A (DC-3),USAAF,7.0,U.K.,A1,1944
1944-05-12,Consolidated PBY-5A Catalina,US Navy,3.0,Vanuatu,A1,1944
1944-05-12,Consolidated PBY-5A Catalina,US Navy,,Pacific Ocean,A1,1944
1944-05-12,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-05-12,Consolidated Catalina IVB (PB2B-1),RAF,3.0,U.K.,A1,1944
1944-05-13,Douglas C-54 (DC-4),USAAF,,Canada,A1,1944
1944-05-13,Curtiss C-46A,USAAF,,,A1,1944
1944-05-13,Lockheed C-60A Lodestar,USAAF,,USA,A1,1944
1944-05-13,Douglas Dakota III (DC-3),RAF,,India,A1,1944
1944-05-14,Douglas C-47 (DC-3),USAAF,1.0,Italy,A1,1944
1944-05-14,Douglas C-47A (DC-3),USAAF,5.0,Italy,A1,1944
1944-05-14,Douglas C-47A (DC-3),USAAF,2.0,Italy,A1,1944
1944-05-14,Lisunov Li-2,Soviet AF,6.0,Russia,A1,1944
1944-05-14,Douglas C-47A (DC-3),USAAF,,USA,A1,1944
1944-05-14,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-05-15,Douglas C-47A (DC-3),CNAC,3.0,India,A1,1944
1944-05-15,Douglas C-47A (DC-3),USAAF,,China,A1,1944
1944-05-15,Douglas C-47 (DC-3),USAAF,,U.K.,A1,1944
1944-05-15,Lockheed 18 Lodestar,"Australian CAA, op.for Qantas",,Australia,A1,1944
1944-05-15,Consolidated C-87,USAAF,4.0,,A1,1944
1944-05-15,Douglas C-47A (DC-3),USAAF,,Myanmar,A1,1944
1944-05-16,Douglas C-47A (DC-3),RAAF,0.0,P.N. Guinea,A1,1944
1944-05-16,Douglas C-47A (DC-3),USAAF,,U.K.,A1,1944
1944-05-16,Douglas C-47A (DC-3),USAAF,0.0,U.K.,A1,1944
1944-05-16,Lisunov Li-2,Aeroflot,0.0,Ukraine,O1,1944
1944-05-18,Douglas R4D-5 (DC-3),US Navy,23.0,Pacific Ocean,A1,1944
1944-05-18,Douglas C-47A (DC-3),CNAC,0.0,India,A2,1944
1944-05-18,Douglas C-47A (DC-3),USAAF,,Myanmar,C1,1944
1944-05-18,Douglas C-47A (DC-3),Aeroflot,3.0,Belarus,A1,1944
1944-05-20,Curtiss C-46A,USAAF,,India,A1,1944
1944-05-20,Douglas C-47 (DC-3),USAAF,,Myanmar,A1,1944
1944-05-20,Consolidated PBY-5 Catalina,US Navy,,,A1,1944
1944-05-20,Douglas Dakota III (DC-3),RAF,,India,A1,1944
1944-05-21,Consolidated PBY-5A Catalina,RAAF,9.0,Indian Ocean,A1,1944
1944-05-21,Consolidated PBY-5 Catalina,US Navy,6.0,Pacific Ocean,A1,1944
1944-05-21,Douglas C-47A (DC-3),USAAF,,,A1,1944
1944-05-22,Douglas C-47 (DC-3),USAAF,,Myanmar,A1,1944
1944-05-22,Douglas C-47 (DC-3),USAAF,6.0,Italy,A1,1944
1944-05-23,Douglas C-47 (DC-3),USAAF,,Myanmar,A1,1944
1944-05-23,Curtiss C-46A,USAAF,4.0,India,A1,1944
1944-05-23,Douglas C-47A (DC-3),USAAF,7.0,Myanmar,A1,1944
1944-05-23,Douglas C-47A (DC-3),USAAF,,U.K.,A1,1944
1944-05-23,Douglas Dakota III (DC-3),RAF,,Myanmar,A1,1944
1944-05-24,Curtiss C-46A,USAAF,,India,A1,1944
1944-05-24,Short Sunderland III,"RAF, op.for RCAF",12.0,Atlantic Ocean,C1,1944
1944-05-24,Douglas C-47 (DC-3),USAAF,,,A1,1944
1944-05-25,Curtiss C-46A,USAAF,4.0,,A1,1944
1944-05-25,Douglas C-47A (DC-3),USAAF,10.0,India,A1,1944
1944-05-25,Douglas C-47A (DC-3),USAAF,3.0,Bhutan,A1,1944
1944-05-25,Douglas C-47 (DC-3),USAAF,4.0,Myanmar,A1,1944
1944-05-25,Douglas C-47A (DC-3),USAAF,,P.N. Guinea,U1,1944
1944-05-26,Douglas C-47A (DC-3),CNAC,12.0,China,A1,1944
1944-05-26,Curtiss C-46A,USAAF,2.0,Brazil,A1,1944
